Number of hours worked last week,Marital status,Highest year of school completed,Rs income in constant $,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
40,Divorced,9,9713,Excellent,No,5,3,Capricorn
40,Married,13,19425,Good,Yes,3,2,Libra
42,Never married,14,23310,Fair,No,4,5,Pisces
40,Married,20,19425,Good,No,4,9,Gemini
50,Married,16,42735,Good,Yes,2,6-11.9 months,Gemini
40,Married,16,19425,Excellent,Refused,2,6,Gemini
50,Married,18,109525,Excellent,No,1,6-11.9 months,Cancer
45,Married,16,16835,Good,No,3,15,Virgo
50,Married,16,62160,Excellent,No,1,19,Libra
30,Married,12,7123,Good,No,4,2,Capricorn
37,Married,14,12303,Good,Refused,3,14,Aries
30,Never married,12,4662,Poor,No,4,3,Taurus
20,Never married,14,5828,Excellent,No,4,5,Libra
50,Married,16,23310,Good,Yes,2,4,Leo
40,Married,16,42735,Good,Yes,3,Less than 6 months,Virgo
37,Divorced,14,14245,Good,No,3,1,Libra
52,Never married,15,16835,Good,No,3,6,Libra
40,Divorced,10,8418,Fair,No,5,1,Gemini
70,Never married,18,16835,Fair,No,2,4,Gemini
45,Married,16,1813,Excellent,No,1,Less than 6 months,Virgo
55,Never married,19,42735,Good,No,2,7,Cancer
16,Never married,16,8418,Excellent,No,2,3,Cancer
50,Divorced,13,109525,Good,Yes,3,99,Pisces
60,Married,13,42735,Good,Yes,4,14,Libra
8,Married,18,1036,Good,Yes,3,4,Libra
1,Married,14,14245,Excellent,Yes,1,12,Cancer
40,Married,18,51800,Excellent,No,1,3,Libra
42,Never married,14,23310,Good,Yes,2,4,Aries
40,Divorced,18,14245,Excellent,No,1,3,Virgo
40,Married,18,19425,Excellent,Yes,2,4,Cancer
36,Never married,9,259,Fair,No,2,6-11.9 months,Libra
27,Widowed,11,8418,Good,No,2,3,Aries
56,Divorced,15,14245,Good,No,1,4,Capricorn
30,Married,6,4662,Fair,No,1,7,Cancer
38,Married,12,8418,Good,No,4,20,Virgo
40,Married,12,14245,Fair,Refused,3,15,Capricorn
50,Never married,13,14245,Fair,No,6,17,Aries
28,Married,11,2849,Good,No,1,4,Cancer
40,Never married,15,8418,Fair,No,2,11,Aquarius
40,Married,16,23310,Fair,No,1,14,Gemini
40,Separated,12,34965,Fair,Refused,4,3,Virgo
38,Married,16,34965,Excellent,Yes,2,15,Cancer
60,Divorced,12,34965,Good,Yes,3,6-11.9 months,Sagittarius
40,Married,20,109525,Excellent,Yes,1,10,Libra
25,Widowed,9,7123,Good,Yes,4,31,Aquarius
65,Divorced,20,34965,Fair,No,2,8,Aries
40,Married,14,14245,Excellent,Yes,2,20,Aries
45,Never married,12,28490,Excellent,No,0,6,Capricorn
43,Married,12,11008,Good,Yes,3,4,Gemini
40,Never married,14,5828,Good,No,1,Less than 6 months,Leo
74,Divorced,12,9713,Good,Yes,1,2,Virgo
32,Never married,16,9713,Excellent,No,1,14,Taurus
40,Divorced,14,1813,Fair,Yes,5,6-11.9 months,Sagittarius
20,Married,12,9713,Good,Yes,1,7,Virgo
42,Never married,14,14245,Fair,Yes,2,4,Aquarius
28,Married,15,19425,Good,No,2,5,Cancer
60,Married,12,42735,Good,Yes,1,7,Leo
45,Widowed,13,9713,Fair,Yes,5,9,Gemini
20,Married,14,14245,Fair,Yes,2,10,Capricorn
20,Never married,13,259,Excellent,No,0,6-11.9 months,Pisces
15,Divorced,20,1813,Excellent,No,3,6,Scorpio
2,Married,14,1813,Fair,No,1,5,Gemini
40,Never married,16,12303,Good,Yes,2,Less than 6 months,Capricorn
56,Never married,2,8418,Excellent,No,2,8,Pisces
70,Married,14,1036,Good,No,0,6-11.9 months,Aries
40,Divorced,18,9713,Good,Yes,2,20,Pisces
40,Divorced,20,42735,Fair,No,3,25,Aries
20,Never married,17,5828,Good,No,8,4,Virgo
21,Married,18,7123,Excellent,No,3,9,Gemini
41,Never married,20,51800,Excellent,No,1,38,Aquarius
50,Married,13,51800,Excellent,Yes,3,15,Taurus
40,Divorced,12,62160,Excellent,Yes,4,14,Sagittarius
45,Divorced,12,23310,Good,Yes,3,15,Cancer
50,Divorced,12,14245,Excellent,Yes,1,19,Aries
8,Married,14,2849,Excellent,No,2,4,Libra
42,Married,12,9713,Excellent,Yes,1,6,Scorpio
55,Separated,13,16835,Good,Yes,2,2,Cancer
40,Married,11,2849,Excellent,No,6,8,Leo
40,Married,20,16835,Excellent,No,2,Less than 6 months,Pisces
45,Never married,19,5828,Good,No,0,6-11.9 months,Libra
60,Never married,19,11008,Fair,No,1,3,Gemini
40,Married,15,19425,Good,Yes,2,11,Libra
44,Married,16,23310,Good,Yes,1,2,Capricorn
40,Never married,13,5828,Fair,Yes,3,2,Taurus
