Number of hours worked last week,Marital status,Highest year of school completed,Respondents income,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
40,Never married,14,$10000 - 14999,Good,No,1,Less than 6 months,Leo
74,Divorced,12,$15000 - 19999,Good,Yes,1,2,Virgo
32,Never married,16,$15000 - 19999,Excellent,No,1,14,Taurus
40,Divorced,14,$3000 to 3999,Fair,Yes,5,6-11.9 months,Sagittarius
20,Married,12,$15000 - 19999,Good,Yes,1,7,Virgo
42,Never married,14,$25000 or more,Fair,Yes,2,4,Aquarius
28,Married,15,$25000 or more,Good,No,2,5,Cancer
60,Married,12,$25000 or more,Good,Yes,1,7,Leo
45,Widowed,13,$15000 - 19999,Fair,Yes,5,9,Gemini
20,Married,14,$25000 or more,Fair,Yes,2,10,Capricorn
20,Never married,13,Lt $1000,Excellent,No,0,6-11.9 months,Pisces
15,Divorced,20,$3000 to 3999,Excellent,No,3,6,Scorpio
2,Married,14,$3000 to 3999,Fair,No,1,5,Gemini
40,Never married,16,$20000 - 24999,Good,Yes,2,Less than 6 months,Capricorn
56,Never married,2,$15000 - 19999,Excellent,No,2,8,Pisces
70,Married,14,$1000 to 2999,Good,No,0,6-11.9 months,Aries
40,Divorced,18,$15000 - 19999,Good,Yes,2,20,Pisces
40,Divorced,20,$25000 or more,Fair,No,3,25,Aries
20,Never married,17,$10000 - 14999,Good,No,8,4,Virgo
21,Married,18,$10000 - 14999,Excellent,No,3,9,Gemini
41,Never married,20,$25000 or more,Excellent,No,1,38,Aquarius
50,Married,13,$25000 or more,Excellent,Yes,3,15,Taurus
40,Divorced,12,$25000 or more,Excellent,Yes,4,14,Sagittarius
45,Divorced,12,$25000 or more,Good,Yes,3,15,Cancer
50,Divorced,12,$25000 or more,Excellent,Yes,1,19,Aries
8,Married,14,$5000 to 5999,Excellent,No,2,4,Libra
42,Married,12,$15000 - 19999,Excellent,Yes,1,6,Scorpio
55,Separated,13,$25000 or more,Good,Yes,2,2,Cancer
40,Married,11,$5000 to 5999,Excellent,No,6,8,Leo
40,Married,20,$25000 or more,Excellent,No,2,Less than 6 months,Pisces
45,Never married,19,$10000 - 14999,Good,No,0,6-11.9 months,Libra
60,Never married,19,$20000 - 24999,Fair,No,1,3,Gemini
40,Married,15,$25000 or more,Good,Yes,2,11,Libra
44,Married,16,$25000 or more,Good,Yes,1,2,Capricorn
40,Never married,13,$10000 - 14999,Fair,Yes,3,2,Taurus
56,Married,14,$25000 or more,Good,No,0,15,Capricorn
60,Divorced,17,$25000 or more,Good,No,4,22,Aquarius
24,Divorced,14,$15000 - 19999,Fair,No,4,6-11.9 months,Pisces
40,Married,13,$25000 or more,Good,Yes,1,10,Scorpio
42,Never married,17,$25000 or more,Excellent,Yes,1,3,Aries
52,Married,17,$25000 or more,Excellent,Yes,1,4,Taurus
40,Married,12,$3000 to 3999,Good,Yes,2,18,Libra
50,Divorced,12,$25000 or more,Good,Yes,4,9,Aquarius
32,Married,9,$10000 - 14999,Fair,Yes,6,Less than 6 months,Sagittarius
40,Married,12,$25000 or more,Good,Yes,3,15,Sagittarius
89,Never married,12,$25000 or more,Excellent,Yes,2,5,Gemini
86,Divorced,12,$20000 - 24999,Excellent,No,1,8,Cancer
37,Married,14,$20000 - 24999,Good,Yes,5,2,Capricorn
40,Married,11,$6000 to 6999,Excellent,Yes,2,3,Taurus
35,Married,13,$6000 to 6999,Fair,Yes,1,2,Scorpio
68,Never married,11,$25000 or more,Fair,Yes,2,5,Taurus
56,Married,16,$25000 or more,Good,Yes,2,20,Gemini
50,Married,12,$20000 - 24999,Excellent,Yes,2,3,Pisces
46,Married,12,$25000 or more,Fair,No,2,7,Taurus
50,Separated,20,$25000 or more,Good,Yes,1,5,Cancer
50,Never married,17,$25000 or more,Excellent,No,2,14,Cancer
40,Married,12,$25000 or more,Excellent,Yes,3,2,Leo
60,Married,14,$20000 - 24999,Good,Yes,3,40,Leo
82,Never married,11,$5000 to 5999,Poor,No,2,1,Gemini
26,Married,13,$3000 to 3999,Good,No,1,6-11.9 months,Aries
50,Divorced,12,$25000 or more,Fair,Yes,3,2,Aquarius
40,Married,15,$25000 or more,Fair,Refused,2,14,Leo
40,Married,13,$25000 or more,Good,Yes,0,11,Libra
40,Married,20,$25000 or more,Good,Yes,2,8,Aries
42,Divorced,12,$20000 - 24999,Good,Yes,4,5,Cancer
24,Never married,12,$5000 to 5999,Fair,No,12,99,Aquarius
40,Widowed,12,$20000 - 24999,Good,Yes,1,8,Virgo
80,Never married,11,$15000 - 19999,Good,No,3,14,Sagittarius
25,Divorced,14,$8000 to 9999,Poor,No,1,6-11.9 months,Capricorn
13,Married,14,$3000 to 3999,Good,No,3,99,Sagittarius
65,Married,12,$10000 - 14999,Good,Yes,5,5,Gemini
32,Never married,12,$25000 or more,Excellent,No,3,6-11.9 months,Aries
25,Never married,12,$3000 to 3999,Good,No,5,3,Scorpio
70,Never married,12,$1000 to 2999,Excellent,No,5,6-11.9 months,Taurus
50,Married,14,$25000 or more,Good,Yes,3,10,Scorpio
55,Divorced,16,$5000 to 5999,Excellent,No,2,12,Capricorn
40,Married,15,$25000 or more,Fair,Yes,4,2,Pisces
40,Never married,16,$25000 or more,Good,No,4,7,Pisces
50,Separated,14,$25000 or more,Good,Yes,2,16,Scorpio
18,Divorced,16,$5000 to 5999,Good,Yes,0,2,Pisces
35,Never married,11,$8000 to 9999,Good,Yes,2,25,Gemini
89,Married,15,$10000 - 14999,Poor,Refused,0,6-11.9 months,Aquarius
40,Married,10,$10000 - 14999,Good,Yes,2,1,Capricorn
80,Married,14,$25000 or more,Good,Yes,2,3,Sagittarius
32,Never married,16,$10000 - 14999,Good,Yes,2,1,Cancer
33,Divorced,8,$10000 - 14999,Good,No,2,1,Aquarius
40,Divorced,16,$25000 or more,Excellent,Yes,2,3,Virgo
40,Divorced,16,$25000 or more,Good,No,3,6-11.9 months,Sagittarius
46,Divorced,14,$8000 to 9999,Good,No,1,6-11.9 months,Sagittarius
25,Widowed,6,$1000 to 2999,Fair,No,2,6,Sagittarius
50,Divorced,14,$25000 or more,Good,Yes,6,6-11.9 months,Pisces
43,Married,8,$15000 - 19999,Good,Yes,2,2,Pisces
24,Divorced,7,$20000 - 24999,Good,No,4,10,Aries
20,Married,11,$15000 - 19999,Good,No,1,6-11.9 months,Cancer
50,Never married,10,$10000 - 14999,Good,No,4,Less than 6 months,Capricorn
40,Never married,15,$15000 - 19999,Excellent,No,2,-1,Gemini
20,Separated,13,$8000 to 9999,Good,No,2,-1,Scorpio
40,Divorced,11,$25000 or more,Fair,No,5,-1,Aries
30,Never married,17,$25000 or more,Good,No,1,-1,Libra
40,Never married,16,$25000 or more,Good,No,3,-1,Scorpio
50,Never married,16,$25000 or more,Fair,No,3,-1,Cancer
55,Married,16,$25000 or more,Good,No,2,-1,Cancer
40,Never married,17,$25000 or more,Good,No,4,-1,Aquarius
40,Never married,20,$25000 or more,Good,No,4,-1,Virgo
35,Divorced,16,$25000 or more,Excellent,No,1,-1,Pisces
25,Never married,17,$15000 - 19999,Excellent,No,2,-1,Virgo
45,Never married,20,$25000 or more,Excellent,No,2,-1,Libra
46,Never married,12,$10000 - 14999,Good,Yes,4,-1,Scorpio
45,Married,19,$25000 or more,Excellent,No,1,-1,Aquarius
46,Married,12,$25000 or more,Excellent,No,1,-1,Cancer
40,Divorced,16,$25000 or more,Good,No,3,-1,Capricorn
40,Never married,6,$5000 to 5999,Fair,No,4,-1,Capricorn
40,Separated,14,$25000 or more,Fair,Yes,3,-1,Aquarius
60,Never married,11,$20000 - 24999,Good,No,2,-1,Virgo
45,Separated,17,$25000 or more,Excellent,No,2,-1,Virgo
57,Never married,11,$25000 or more,Good,Yes,1,-1,Leo
40,Married,17,$25000 or more,Excellent,Yes,1,-1,Cancer
28,Married,16,$20000 - 24999,Good,No,2,-1,Aries
30,Never married,14,$7000 to 7999,Good,No,1,-1,Aries
30,Married,13,$5000 to 5999,Good,No,9,-1,Cancer
30,Never married,12,$25000 or more,Good,No,1,-1,Pisces
89,Widowed,14,$10000 - 14999,Good,No,2,-1,Aquarius
20,Married,12,$20000 - 24999,Excellent,No,4,-1,Virgo
18,Married,12,$8000 to 9999,Excellent,Yes,3,-1,Scorpio
45,Married,15,$25000 or more,Good,No,3,-1,Virgo
50,Married,16,$25000 or more,Good,No,2,-1,Gemini
55,Married,18,$25000 or more,Good,No,0,-1,Taurus
30,Never married,12,$25000 or more,Good,No,5,-1,Leo
24,Never married,14,$10000 - 14999,Good,No,1,-1,Scorpio
40,Never married,14,$25000 or more,Good,No,3,-1,Aries
40,Never married,12,$25000 or more,Good,No,3,-1,Capricorn
35,Married,17,$25000 or more,Good,No,1,-1,Virgo
45,Divorced,14,$25000 or more,Fair,No,1,-1,Leo
40,Married,16,$25000 or more,Good,Yes,1,-1,Scorpio
70,Separated,20,$25000 or more,Excellent,No,2,-1,Cancer
40,Married,14,$25000 or more,Good,No,1,-1,Capricorn
50,Married,9,$8000 to 9999,Excellent,No,2,-1,Aries
10,Divorced,12,Lt $1000,Excellent,No,0,-1,Aquarius
40,Never married,18,$4000 to 4999,Fair,No,0,-1,Taurus
60,Married,18,$25000 or more,Good,No,1,-1,Libra
39,Married,16,$25000 or more,Good,Yes,2,-1,Leo
25,Married,20,$25000 or more,Good,Yes,2,-1,Taurus
40,Married,16,$25000 or more,Excellent,Yes,0,-1,Leo
60,Married,12,$25000 or more,Good,No,0,-1,Gemini
38,Never married,17,$25000 or more,Good,No,0,-1,Sagittarius
40,Never married,16,$25000 or more,Excellent,Yes,1,-1,Scorpio
50,Married,15,$20000 - 24999,Excellent,Yes,2,-1,Sagittarius
20,Married,16,$15000 - 19999,Excellent,No,2,-1,Aries
55,Married,16,$25000 or more,Excellent,No,0,-1,Gemini
32,Divorced,13,$25000 or more,Excellent,No,2,-1,Cancer
50,Never married,17,$25000 or more,Good,No,1,-1,Capricorn
41,Married,14,$25000 or more,Good,Yes,1,-1,Taurus
37,Married,16,$25000 or more,Fair,No,3,-1,Aquarius
40,Never married,14,$10000 - 14999,Good,Yes,2,-1,Virgo
45,Married,14,$25000 or more,Good,No,4,-1,Libra
44,Never married,16,$25000 or more,Good,No,2,-1,Libra
40,Never married,13,$20000 - 24999,Good,No,1,-1,Libra
32,Married,15,$25000 or more,Good,No,1,-1,Leo
60,Never married,12,$20000 - 24999,Good,No,4,-1,Virgo
25,Married,15,$25000 or more,Good,Yes,2,-1,Leo
55,Married,17,$25000 or more,Excellent,No,2,-1,Sagittarius
20,Never married,10,$1000 to 2999,Poor,Yes,5,-1,Taurus
27,Never married,12,$5000 to 5999,Good,Yes,4,-1,Libra
40,Married,10,$25000 or more,Fair,No,4,-1,Virgo
33,Never married,11,$15000 - 19999,Excellent,No,8,-1,Aquarius
40,Married,16,$10000 - 14999,Fair,Yes,4,-1,Leo
65,Married,14,$25000 or more,Good,Yes,1,-1,Pisces
80,Married,16,$25000 or more,Excellent,Yes,2,-1,Leo
40,Divorced,13,$10000 - 14999,Good,Yes,2,-1,Aquarius
40,Never married,16,$15000 - 19999,Good,No,2,-1,Libra
60,Married,18,$25000 or more,Excellent,Yes,0,-1,Sagittarius
38,Widowed,18,$25000 or more,Good,No,4,-1,Capricorn
12,Never married,14,$4000 to 4999,Fair,No,4,-1,Taurus
35,Married,12,$25000 or more,Excellent,No,2,-1,Virgo
48,Married,12,$25000 or more,Poor,No,8,-1,Aries
40,Married,20,$25000 or more,Fair,Yes,1,-1,Taurus
80,Widowed,8,$10000 - 14999,Good,Yes,0,-1,Capricorn
45,Never married,10,$25000 or more,Fair,No,1,-1,Aries
40,Never married,17,$25000 or more,Good,No,1,-1,Sagittarius
45,Married,14,$25000 or more,Excellent,Yes,2,-1,Cancer
16,Married,8,$25000 or more,Good,No,2,-1,Aries
20,Married,12,$20000 - 24999,Good,Yes,0,-1,Gemini
40,Married,10,$25000 or more,Excellent,No,4,-1,Capricorn
35,Married,12,$25000 or more,Good,No,0,-1,Taurus
30,Never married,10,$6000 to 6999,Fair,No,0,-1,Taurus
40,Married,12,$15000 - 19999,Fair,No,1,-1,Gemini
36,Married,6,$10000 - 14999,Good,No,2,-1,Sagittarius
40,Never married,19,$25000 or more,Good,No,3,-1,Leo
37,Married,14,$25000 or more,Fair,Yes,3,-1,Cancer
59,Married,16,$25000 or more,Excellent,No,1,-1,Aries
50,Married,18,$25000 or more,Excellent,No,1,-1,Pisces
20,Never married,15,$20000 - 24999,Excellent,No,5,-1,Capricorn
46,Married,14,$15000 - 19999,Fair,No,1,-1,Gemini
24,Divorced,16,$25000 or more,Good,No,3,-1,Pisces
46,Widowed,13,$25000 or more,Good,Yes,2,-1,Gemini
40,Married,16,$25000 or more,Excellent,Yes,1,-1,Leo
60,Never married,14,$25000 or more,Fair,No,1,-1,Taurus
25,Married,11,$7000 to 7999,Good,Yes,1,-1,Cancer
43,Married,15,$25000 or more,Good,Yes,3,-1,Taurus
36,Never married,12,$1000 to 2999,Fair,Yes,1,-1,Taurus
42,Never married,14,$25000 or more,Good,No,2,-1,Aquarius
24,Never married,12,$25000 or more,Good,No,7,-1,Taurus
