Gss year for this respondent                       ,Respondent id number,Number of hours worked last week,Marital status,Number of children,Age of respondent,Highest year of school completed,General happiness,Happiness of marriage,Condition of health,Is life exciting or dull,Spend evening with relatives,Spend evening with friends,Spend evening at bar,Job or housework,Subjective class identification,Satisfaction with financial situation,Sex before marriage,Suicide if bankrupt,Have gun in home,Hours per day watching tv,Family income in constant $
2008,973,Not applicable,Married,2,60,16,Pretty happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a week,Once a year,Not applicable,Upper class,Satisfied,Not wrong at all,No,No,2,146154
2008,977,42,Married,2,58,16,Pretty happy,Pretty happy,Excellent,Routine,Sev times a mnth,Once a month,Never,Mod. satisfied,Middle class,More or less,Sometimes wrong,No,No,2,36146
2008,984,40,Married,1,68,20,Pretty happy,Pretty happy,Good,Exciting,Sev times a mnth,Sev times a year,Never,Very satisfied,Middle class,More or less,Not wrong at all,No,No,0,44179
2008,996,48,Married,2,59,13,Not too happy,Not too happy,Fair,Routine,Once a month,Sev times a year,Once a year,A little dissat,Working class,Not at all sat,Not wrong at all,No,Yes,2,36146
2008,1001,35,Married,2,47,14,Pretty happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a year,Once a year,A little dissat,Middle class,Satisfied,Sometimes wrong,No,No,2,64260
2008,1005,74,Married,3,52,12,Very happy,Very happy,Good,Routine,Sev times a mnth,Sev times a year,Never,Mod. satisfied,Working class,More or less,Always wrong,No,No,1,74970
2008,1007,24,Married,0,26,18,Very happy,Very happy,Excellent,Routine,Sev times a week,Sev times a mnth,Sev times a mnth,Very satisfied,Middle class,Satisfied,Almst always wrg,No,Yes,1,36146
2008,1008,32,Married,3,58,12,Very happy,Very happy,Good,Exciting,Sev times a year,Once a month,Sev times a mnth,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,4,146154
2008,1027,Not applicable,Married,5,84,8,Pretty happy,Pretty happy,Good,Routine,Once a month,Once a month,Sev times a week,Not applicable,Middle class,Satisfied,Not wrong at all,No,Yes,5,17404
2008,1033,40,Married,5,51,12,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a year,Never,Very satisfied,Working class,Satisfied,Not wrong at all,No,No,3,36146
2008,1041,Not applicable,Married,4,76,11,Very happy,Very happy,Fair,Exciting,Sev times a week,Once a month,Never,Not applicable,Middle class,Satisfied,Always wrong,No,No,4,12718
2008,1043,40,Married,3,31,15,Very happy,Very happy,Excellent,Exciting,Sev times a year,Once a month,Once a month,Mod. satisfied,Middle class,More or less,Always wrong,No,Yes,6,44179
2008,1054,60,Married,3,54,10,Very happy,Very happy,Fair,Exciting,Almost daily,Sev times a mnth,Once a year,Very satisfied,Middle class,More or less,Always wrong,No,Yes,2,44179
2008,1055,Not applicable,Married,2,66,17,Very happy,Very happy,Good,Exciting,Once a month,Sev times a year,Once a year,Not applicable,Upper class,Satisfied,Almst always wrg,No,No,3,146154
2008,1061,20,Married,2,77,16,Very happy,Very happy,Good,Exciting,Once a month,Once a year,Almost daily,Very satisfied,Middle class,Satisfied,Almst always wrg,Don't know,Yes,2,24098
2008,1090,Not applicable,Married,1,31,14,Very happy,Pretty happy,Excellent,Exciting,Sev times a mnth,Once a month,Once a month,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,6,36146
2008,1097,23,Married,2,35,18,Pretty happy,Pretty happy,Good,Routine,Once a month,Sev times a year,Once a year,Mod. satisfied,Middle class,Satisfied,Sometimes wrong,No,Yes,1,64260
2008,1099,Not applicable,Married,1,55,18,Pretty happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a year,Once a year,Mod. satisfied,Middle class,Satisfied,Not wrong at all,Yes,Yes,1,146154
2008,1101,46,Married,6,49,14,Pretty happy,Very happy,Fair,Exciting,Sev times a mnth,Sev times a year,Sev times a year,Very satisfied,Middle class,More or less,Sometimes wrong,No,Yes,3,53550
2008,1108,70,Married,1,39,17,Very happy,Very happy,Excellent,Routine,Once a month,Sev times a year,Sev times a year,Mod. satisfied,Middle class,More or less,Sometimes wrong,No,Yes,2,36146
2008,1109,50,Married,4,49,12,Very happy,Very happy,Good,Exciting,Almost daily,Sev times a mnth,Once a month,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,1,146154
2008,1115,Not applicable,Married,5,52,15,Very happy,Very happy,Good,Routine,Once a month,Once a year,Once a year,Mod. satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,53550
2008,1116,40,Married,3,55,12,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Sev times a week,Never,Mod. satisfied,Middle class,More or less,Always wrong,No,No,7,53550
2008,1117,30,Married,3,28,14,Very happy,Very happy,Good,Routine,Sev times a week,Once a month,Never,Mod. satisfied,Working class,More or less,Always wrong,No,No,4,6024
2008,1118,46,Married,Eight or more,50,14,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Sev times a week,Never,Mod. satisfied,Working class,More or less,Always wrong,No,No,3,44179
2008,1153,Not applicable,Married,3,34,16,Pretty happy,Very happy,Excellent,Exciting,Almost daily,Almost daily,Sev times a year,Very satisfied,Upper class,More or less,Always wrong,No,Yes,0,146154
2008,1157,60,Married,3,64,16,Pretty happy,Very happy,Excellent,Exciting,Once a month,Sev times a year,Never,Very satisfied,Working class,More or less,Always wrong,No,Yes,2,44179
2008,1163,24,Married,2,53,16,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a mnth,Sev times a mnth,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,1,74970
2008,1175,Not applicable,Married,2,74,8,Very happy,Pretty happy,Fair,Routine,Once a month,Never,Never,Not applicable,Working class,Satisfied,Not wrong at all,No,Yes,12,7363
2008,1177,Not applicable,Married,0,33,16,Pretty happy,Very happy,Good,Exciting,Sev times a year,Sev times a year,Once a year,Very satisfied,Middle class,Not at all sat,Not wrong at all,Yes,No,0,36146
2008,1178,36,Married,2,36,9,Very happy,Very happy,Excellent,Exciting,Once a month,Sev times a mnth,Once a month,Very satisfied,Middle class,More or less,Sometimes wrong,No,Yes,2,74970
2008,1195,Not applicable,Married,2,67,18,Very happy,Very happy,Fair,Exciting,Sev times a week,Sev times a mnth,Never,Not applicable,Upper class,Satisfied,Not wrong at all,No,Yes,4,74970
2008,1198,40,Married,4,33,12,Pretty happy,Pretty happy,Good,Routine,Sev times a year,Sev times a year,Sev times a year,Very satisfied,Middle class,More or less,Sometimes wrong,No,No,2,53550
2008,1202,40,Married,2,33,18,Pretty happy,Very happy,Good,Routine,Sev times a year,Once a month,Once a month,Mod. satisfied,Middle class,Not at all sat,Always wrong,No,No,3,53550
2008,1203,42,Married,4,64,12,Very happy,Very happy,Good,Exciting,Once a year,Once a month,Never,Very satisfied,Working class,Satisfied,Sometimes wrong,No,Yes,2,36146
2008,1204,59,Married,1,47,12,Pretty happy,Very happy,Good,Exciting,Sev times a week,Sev times a year,Once a year,Mod. satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,53550
2008,1206,40,Married,0,33,18,Very happy,Very happy,Excellent,Routine,Once a month,Sev times a mnth,Once a month,Mod. satisfied,Middle class,Satisfied,Almst always wrg,No,Yes,3,74970
2008,1208,Not applicable,Married,3,69,12,Pretty happy,Very happy,Fair,Routine,Sev times a year,Once a year,Never,Not applicable,Middle class,More or less,Not wrong at all,No,Yes,6,36146
2008,1211,40,Married,6,43,9,Pretty happy,Not too happy,Good,Routine,Never,Once a month,Never,A little dissat,Working class,Not at all sat,Always wrong,No,No,8,36146
2008,1215,40,Married,0,54,16,Very happy,Very happy,Fair,Routine,Once a year,Sev times a year,Never,A little dissat,Middle class,Satisfied,Not wrong at all,No,No,2,74970
2008,1216,25,Married,2,69,16,Not too happy,Not too happy,Fair,Routine,Never,Sev times a year,Once a year,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,6,14726
2008,1217,30,Married,4,36,12,Very happy,Pretty happy,Fair,Exciting,Sev times a year,Sev times a mnth,Never,Mod. satisfied,Middle class,More or less,Almst always wrg,No,Yes,1,146154
2008,1222,65,Married,3,32,16,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a week,Once a year,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,1,36146
2008,1226,Not applicable,Married,3,33,12,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Sev times a year,Very satisfied,Working class,More or less,Not wrong at all,No,No,3,17404
2008,1229,40,Married,3,33,16,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Sev times a week,Once a month,A little dissat,Working class,Not at all sat,Always wrong,No,No,1,8702
2008,1230,45,Married,2,42,18,Pretty happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a mnth,Never,Very satisfied,Middle class,More or less,Always wrong,No,No,1,53550
2008,1249,Not applicable,Married,7,86,3,Not too happy,Pretty happy,Poor,Dull,Never,Never,Never,Not applicable,Working class,More or less,Always wrong,No,No,1,2945
2008,1255,38,Married,3,36,14,Pretty happy,Pretty happy,Good,Routine,Sev times a mnth,Sev times a year,Once a year,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,1,44179
2008,1258,Not applicable,Married,3,45,16,Very happy,Very happy,Excellent,Exciting,Once a year,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,1,146154
2008,1260,50,Married,2,41,13,Very happy,Very happy,Fair,Exciting,Sev times a mnth,Once a month,Sev times a year,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,2,64260
2008,1266,40,Married,2,46,12,Very happy,Very happy,Good,Routine,Sev times a year,Sev times a year,Sev times a year,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,3,29453
2008,1269,48,Married,0,36,13,Very happy,Very happy,Excellent,Routine,Once a month,Once a month,Never,Very satisfied,Working class,More or less,Always wrong,No,No,5,17404
2008,1271,40,Married,0,30,15,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a week,Once a month,Very satisfied,Working class,More or less,Sometimes wrong,No,Yes,0,29453
2008,1300,Not applicable,Married,3,28,14,Pretty happy,Pretty happy,Excellent,Exciting,Once a month,Sev times a week,Sev times a year,Very satisfied,Working class,Not at all sat,Always wrong,No,Yes,2,17404
2008,1303,Not applicable,Married,5,62,16,Pretty happy,Very happy,Poor,Routine,Sev times a year,Sev times a mnth,Never,Not applicable,Working class,More or less,Always wrong,No,Yes,1,36146
2008,1308,45,Married,4,33,11,Pretty happy,Pretty happy,Good,Exciting,Sev times a mnth,Sev times a year,Once a year,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,1,29453
2008,1322,64,Married,3,34,11,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a year,Never,Very satisfied,Working class,More or less,Not wrong at all,No,Yes,3,29453
2008,1323,Not applicable,Married,4,83,16,Pretty happy,Pretty happy,Fair,Routine,Sev times a mnth,Never,Never,Not applicable,Middle class,Satisfied,Always wrong,No,No,3,24098
2008,1334,45,Married,1,58,16,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a week,Sev times a week,Very satisfied,Middle class,More or less,Not wrong at all,No,No,4,53550
2008,1344,Not applicable,Married,3,51,13,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,3,53550
2008,1358,50,Married,2,40,12,Pretty happy,Very happy,Good,Routine,Once a month,Once a year,Sev times a year,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,2,36146
2008,1377,20,Married,3,82,18,Very happy,Very happy,Good,Exciting,Once a month,Once a year,Never,Very satisfied,Upper class,Satisfied,Sometimes wrong,No,No,1,146154
2008,1381,Not applicable,Married,Eight or more,45,14,Very happy,Very happy,Good,Routine,Sev times a year,Once a month,Never,Mod. satisfied,Middle class,Satisfied,Always wrong,No,Yes,1,146154
2008,1400,Not applicable,Married,2,68,17,Pretty happy,Very happy,Good,Routine,Sev times a mnth,Sev times a mnth,Never,Not applicable,Middle class,More or less,Sometimes wrong,No,No,4,36146
2008,1401,45,Married,1,38,15,Very happy,Pretty happy,Good,Exciting,Sev times a year,Sev times a mnth,Once a month,Mod. satisfied,Middle class,More or less,Almst always wrg,No,Yes,2,146154
2008,1402,Not applicable,Married,3,33,12,Not too happy,Pretty happy,Fair,Routine,Once a month,Once a year,Sev times a year,Very satisfied,Working class,Not at all sat,Always wrong,No,Yes,4,29453
2008,1416,56,Married,2,28,8,Pretty happy,Pretty happy,Good,Routine,Sev times a mnth,Sev times a week,Never,Mod. satisfied,Working class,Not at all sat,Almst always wrg,No,No,2,6024
2008,1427,50,Married,2,70,12,Very happy,Very happy,Good,Exciting,Once a month,Once a month,Never,Very satisfied,Working class,Not at all sat,Always wrong,No,No,1,146154
2008,1440,44,Married,3,40,17,Very happy,Very happy,Good,Routine,Sev times a week,Sev times a year,Never,Very satisfied,Working class,Not at all sat,Always wrong,No,No,1,36146
2008,1452,40,Married,0,29,20,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a mnth,Sev times a year,Very satisfied,Middle class,Satisfied,Sometimes wrong,No,No,2,29453
2008,1465,Not applicable,Married,Eight or more,80,12,Very happy,Very happy,Poor,Routine,Sev times a year,Never,Never,Not applicable,Lower class,Not at all sat,Always wrong,No,No,8,17404
2008,1468,35,Married,3,51,14,Very happy,Very happy,Good,Exciting,Sev times a mnth,Once a year,Never,Very satisfied,Working class,More or less,Not wrong at all,No,Yes,1,53550
2008,1481,42,Married,2,62,12,Pretty happy,Pretty happy,Good,Dull,Once a month,Once a year,Once a month,Very satisfied,Middle class,Not at all sat,Not wrong at all,No,No,1,44179
2008,1484,Not applicable,Married,3,81,12,Pretty happy,Pretty happy,Excellent,Routine,Once a month,Once a year,Never,Not applicable,Working class,Not at all sat,Sometimes wrong,No,Yes,2,10041
2008,1493,No answer,Married,3,57,14,Pretty happy,Not too happy,Excellent,Exciting,Once a month,Sev times a year,Sev times a year,No answer,Working class,More or less,Always wrong,Yes,No,2,24098
2008,1500,52,Married,2,61,16,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a week,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,2,44179
2008,1503,Not applicable,Married,0,79,12,Very happy,Very happy,Good,Exciting,Sev times a year,Sev times a year,Never,Not applicable,Working class,Satisfied,Not wrong at all,No,Yes,2,44179
2008,1530,40,Married,3,51,12,Very happy,Very happy,Excellent,Exciting,Once a month,Sev times a year,Never,Very satisfied,Working class,Not at all sat,Always wrong,No,Yes,2,44179
2008,1539,35,Married,2,36,18,Very happy,Very happy,Good,Exciting,Once a month,Sev times a week,Never,Very satisfied,Working class,Satisfied,Not wrong at all,Yes,Yes,2,44179
2008,1541,Not applicable,Married,3,64,14,Pretty happy,Very happy,Fair,Dull,Almost daily,Sev times a mnth,Almost daily,Very satisfied,Working class,Not at all sat,Sometimes wrong,No,Yes,4,1071
2008,1556,Not applicable,Married,1,35,15,Pretty happy,Very happy,Fair,Exciting,Sev times a week,Once a month,Sev times a year,Not applicable,Middle class,More or less,Sometimes wrong,No,Yes,3,24098
2008,1557,55,Married,6,58,19,Pretty happy,Very happy,Fair,Exciting,Sev times a year,Once a year,Never,A little dissat,Middle class,More or less,Not wrong at all,No,No,4,44179
2008,1559,34,Married,2,55,15,Very happy,Very happy,Good,Exciting,Sev times a week,Once a year,Once a year,A little dissat,Middle class,More or less,Not wrong at all,No,Yes,1,29453
2008,1568,45,Married,Eight or more,50,12,Pretty happy,Very happy,Fair,Exciting,Once a month,Once a month,Once a month,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,1,36146
2008,1574,60,Married,3,47,13,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Once a month,Very satisfied,Working class,Not at all sat,Not wrong at all,Yes,Yes,2,29453
2008,1598,40,Married,2,49,12,Pretty happy,Very happy,Good,Routine,Sev times a week,Sev times a week,Sev times a year,Very satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,36146
2008,1603,50,Married,2,57,12,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a mnth,Never,Mod. satisfied,Working class,More or less,Almst always wrg,No,Yes,2,36146
2008,1613,Not applicable,Married,4,66,12,Pretty happy,Pretty happy,Good,Routine,Once a month,Sev times a week,Never,Very satisfied,Working class,More or less,Always wrong,No,Yes,8,36146
2008,1615,89,Married,2,49,12,Pretty happy,Very happy,Fair,Routine,Sev times a mnth,Once a year,Never,Very satisfied,Working class,More or less,Not wrong at all,No,Yes,3,53550
2008,1616,40,Married,3,47,12,Pretty happy,Pretty happy,Good,Routine,Sev times a year,Never,Never,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,3,29453
2008,1625,32,Married,2,31,12,Very happy,Very happy,Good,Exciting,Sev times a year,Once a year,Never,Mod. satisfied,Working class,Not at all sat,Always wrong,No,Yes,3,24098
2008,1630,No answer,Married,6,72,10,Not too happy,Pretty happy,Fair,Routine,Almost daily,Never,Never,No answer,Working class,Not at all sat,Not wrong at all,No,Yes,1,11379
2008,1638,Not applicable,Married,3,63,8,Very happy,Very happy,Good,Routine,Sev times a week,Never,Never,Mod. satisfied,Middle class,Not at all sat,Sometimes wrong,No,Yes,5,29453
2008,1639,Not applicable,Married,1,25,15,Pretty happy,Pretty happy,Good,Exciting,Sev times a week,Sev times a year,Never,A little dissat,Working class,Not at all sat,Not wrong at all,No,No,5,36146
2008,1646,Not applicable,Married,3,57,7,Not too happy,Very happy,Poor,Routine,Sev times a mnth,Never,Never,Not applicable,Lower class,Not at all sat,Always wrong,No,Yes,3,6024
2008,1674,40,Married,1,47,14,Pretty happy,Pretty happy,Good,Routine,Once a month,Sev times a year,Never,Mod. satisfied,Middle class,Satisfied,Sometimes wrong,No,Yes,3,53550
2008,1678,25,Married,4,81,12,Very happy,Very happy,Excellent,Exciting,Once a month,Once a year,Never,Mod. satisfied,Middle class,Not at all sat,Always wrong,No,Yes,0,74970
2008,1679,Not applicable,Married,1,63,12,Pretty happy,Pretty happy,Fair,Dull,Almost daily,Never,Never,Not applicable,Working class,More or less,Always wrong,No,Yes,4,8702
2008,1680,Not applicable,Married,1,54,9,Pretty happy,Very happy,Good,Exciting,Once a month,Never,Never,No answer,Working class,Not at all sat,Always wrong,No,Yes,3,14726
2008,1695,Not applicable,Married,2,35,12,Pretty happy,Very happy,Fair,Routine,Sev times a year,Once a year,Once a year,Don't know,Working class,More or less,Not wrong at all,No,Yes,5,14726
2008,1704,40,Married,2,46,13,Pretty happy,Pretty happy,Good,Routine,Once a month,Sev times a week,Never,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,1,44179
2008,1714,Not applicable,Married,3,69,12,Very happy,Very happy,Good,Exciting,Sev times a year,Never,Never,No answer,Middle class,Satisfied,Always wrong,No,Yes,4,36146
2008,1719,Not applicable,Married,2,36,11,Very happy,Very happy,Excellent,Exciting,Once a month,Sev times a mnth,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,1,29453
2008,1724,40,Married,2,66,12,Pretty happy,Very happy,Good,Routine,Once a month,Sev times a year,Never,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,3,29453
2008,1730,6,Married,2,37,16,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a week,Sev times a year,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,1,36146
2008,1734,Not applicable,Married,2,67,14,Pretty happy,Pretty happy,Good,Routine,Sev times a year,Sev times a year,Never,Not applicable,Working class,More or less,Not wrong at all,Don't know,Yes,3,24098
2008,1735,65,Married,3,47,16,Pretty happy,Very happy,Excellent,Exciting,Sev times a year,Once a month,Once a month,Mod. satisfied,Middle class,Satisfied,Not wrong at all,Yes,Yes,1,74970
2008,1737,50,Married,1,56,12,Pretty happy,Pretty happy,Good,Routine,Once a year,Never,Never,Very satisfied,Working class,More or less,Not wrong at all,Yes,Yes,4,53550
2008,1740,Not applicable,Married,4,81,11,Very happy,Very happy,Fair,Routine,Sev times a year,Sev times a year,Never,Not applicable,Working class,Satisfied,Not wrong at all,No,Yes,1,1874
2008,1742,60,Married,5,44,18,Very happy,Very happy,Good,Exciting,Sev times a year,Sev times a week,Once a month,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,1,146154
2008,1743,Not applicable,Married,2,51,14,Very happy,Very happy,Good,Exciting,Once a year,Sev times a year,Once a year,Very satisfied,Upper class,Satisfied,Not wrong at all,No,No,4,53550
2008,1746,40,Married,1,43,12,Very happy,Very happy,Good,Exciting,Sev times a mnth,Once a month,Once a year,Mod. satisfied,Working class,More or less,Always wrong,No,Yes,2,36146
2008,1766,Not applicable,Married,4,70,12,Pretty happy,Very happy,Poor,Routine,Sev times a week,Sev times a mnth,Never,Not applicable,Working class,More or less,Always wrong,No,Yes,4,12718
2008,1767,Not applicable,Married,0,30,11,Very happy,Very happy,Fair,Dull,Sev times a week,Once a month,Never,Not applicable,Middle class,Not at all sat,Not wrong at all,No,No,8,14726
2008,1772,40,Married,2,53,12,Pretty happy,Very happy,Fair,Dull,Sev times a mnth,Once a year,Sev times a year,A little dissat,Working class,More or less,Sometimes wrong,No,Yes,10,11379
2008,1781,33,Married,3,53,12,Very happy,Very happy,Fair,Routine,Once a month,Once a year,Never,Very satisfied,Middle class,More or less,Always wrong,No,Yes,5,6024
2008,1792,40,Married,1,35,13,Pretty happy,Pretty happy,Good,Routine,Sev times a mnth,Once a month,Sev times a year,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,No,2,29453
2008,1796,Not applicable,Married,2,56,12,Pretty happy,Pretty happy,Fair,Routine,Sev times a mnth,Sev times a mnth,Once a year,Not applicable,Middle class,Not at all sat,Not wrong at all,No,Yes,3,24098
2008,1797,Not applicable,Married,3,32,14,Pretty happy,Pretty happy,Good,Routine,Sev times a mnth,Sev times a week,Never,Very satisfied,Middle class,More or less,Always wrong,No,No,6,20081
2008,1805,65,Married,2,48,11,Pretty happy,Very happy,Good,Exciting,Sev times a mnth,Once a month,Never,Don't know,Working class,Not at all sat,Not wrong at all,No,Yes,2,29453
2008,1814,40,Married,0,34,12,Pretty happy,Very happy,Excellent,Exciting,Sev times a year,Never,Once a year,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,0,17404
2008,1830,35,Married,4,35,12,Very happy,Pretty happy,Good,Routine,Once a month,Never,Never,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,No,3,24098
2008,1834,32,Married,2,60,12,Not too happy,Not too happy,Good,Dull,Sev times a year,Sev times a mnth,Never,Mod. satisfied,Working class,More or less,Always wrong,No,No,2,14726
2008,1855,Not applicable,Married,3,78,15,Pretty happy,Very happy,Good,Exciting,Sev times a year,Sev times a mnth,Never,Not applicable,Middle class,More or less,Always wrong,Yes,Yes,3,24098
2008,1866,55,Married,3,32,13,Pretty happy,Very happy,Good,Routine,Sev times a mnth,Once a month,Never,Mod. satisfied,Middle class,More or less,Sometimes wrong,No,Yes,2,44179
2008,1869,48,Married,3,34,12,Not too happy,Very happy,Good,Dull,Almost daily,Sev times a mnth,Sev times a year,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,2,53550
2008,1874,Not applicable,Married,5,71,16,Very happy,Very happy,Good,Exciting,Sev times a year,Sev times a mnth,Never,Not applicable,Middle class,More or less,Always wrong,No,Yes,4,20081
2008,1876,55,Married,6,65,13,Pretty happy,Pretty happy,Good,Routine,Once a year,Once a year,Never,Very satisfied,Working class,Satisfied,Always wrong,No,Yes,2,17404
2008,1877,65,Married,5,61,12,Pretty happy,Pretty happy,Good,Exciting,Sev times a week,Once a month,Never,Very satisfied,Middle class,Satisfied,Sometimes wrong,No,Yes,1,74970
2008,1878,Not applicable,Married,3,76,12,Not too happy,Pretty happy,Fair,Routine,Sev times a year,Sev times a week,Never,Not applicable,Working class,More or less,Always wrong,No,Yes,4,36146
2008,1879,50,Married,3,55,12,Pretty happy,Pretty happy,Excellent,Exciting,Never,Almost daily,Never,Very satisfied,Working class,Satisfied,Not wrong at all,No,Yes,2,24098
2008,1884,40,Married,1,49,12,Pretty happy,Pretty happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,3,53550
2008,1889,Not applicable,Married,3,50,14,Very happy,Very happy,Good,Exciting,Almost daily,Sev times a mnth,Never,Not applicable,Middle class,Satisfied,Not wrong at all,No,Yes,3,53550
2008,1901,60,Married,3,55,13,Very happy,Very happy,Excellent,Routine,Almost daily,Once a month,Never,Very satisfied,Working class,More or less,Always wrong,No,Yes,1,20081
2008,1905,60,Married,6,53,9,Not too happy,Pretty happy,Fair,Routine,Once a year,Once a month,Never,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,1,36146
2008,1908,Not applicable,Married,4,80,9,Very happy,Very happy,Excellent,Exciting,Sev times a year,Once a year,Never,Not applicable,Middle class,Satisfied,Always wrong,No,No,7,12718
2008,1918,Not applicable,Married,1,22,12,Very happy,Very happy,Excellent,Routine,Sev times a year,Never,Once a year,A little dissat,Middle class,More or less,Not wrong at all,No,No,4,24098
2008,1920,58,Married,0,43,14,Pretty happy,Pretty happy,Good,Routine,Once a year,Sev times a year,Never,Very satisfied,Working class,Not at all sat,Not wrong at all,No,No,5,6024
2008,1928,Not applicable,Married,2,26,15,Pretty happy,Pretty happy,Fair,Routine,Sev times a mnth,Sev times a mnth,Never,Not applicable,Working class,More or less,Not wrong at all,Yes,No,2,11379
2008,1934,25,Married,5,69,12,Very happy,Very happy,Fair,Routine,Sev times a mnth,Once a month,Never,Very satisfied,Working class,More or less,Always wrong,No,No,2,17404
2008,1936,Not applicable,Married,1,61,15,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a week,Never,Not applicable,Middle class,Satisfied,Sometimes wrong,No,Yes,3,146154
2008,1951,40,Married,2,43,12,Pretty happy,Very happy,Fair,Routine,Sev times a year,Once a month,Once a year,Mod. satisfied,Working class,Not at all sat,Always wrong,No,Yes,2,44179
2008,1952,50,Married,3,51,12,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a year,Once a year,Very satisfied,Working class,Satisfied,Not wrong at all,No,Yes,1,64260
2008,1968,Not applicable,Married,6,43,13,Pretty happy,Not too happy,Fair,Dull,Sev times a year,Sev times a mnth,Never,Very satisfied,Middle class,Not at all sat,Sometimes wrong,No,No,3,24098
2008,1990,Not applicable,Married,4,30,16,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Once a month,Never,Very satisfied,Working class,More or less,Always wrong,No,Yes,2,36146
2008,1996,27,Married,2,35,18,Pretty happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a mnth,Once a year,Very satisfied,Middle class,More or less,Always wrong,No,No,1,24098
2008,2003,40,Married,2,42,16,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a year,Never,Very satisfied,Working class,Satisfied,Always wrong,No,No,0,44179
2008,2005,40,Married,0,38,13,Very happy,Very happy,Fair,Exciting,Once a month,Sev times a mnth,Once a month,Very satisfied,Middle class,Not at all sat,Always wrong,No,No,4,36146
2008,2007,Not applicable,Married,2,49,14,Very happy,Very happy,Good,Exciting,Once a year,Sev times a year,Never,Mod. satisfied,Middle class,More or less,Always wrong,No,No,3,44179
2010,13,40,Married,2,58,12,Pretty happy,Very happy,Excellent,Exciting,Almost daily,Sev times a week,Sev times a year,Mod. satisfied,Working class,More or less,Sometimes wrong,No,No,2,51800
2010,22,25,Married,5,56,13,Very happy,Very happy,Excellent,Don't know,Sev times a mnth,Sev times a year,Sev times a mnth,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,5,51800
2010,38,40,Married,2,53,16,Pretty happy,Very happy,Good,Exciting,Sev times a year,Once a month,Sev times a year,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,2,72520
