Gss year for this respondent                       ,Respondent id number,Number of hours worked last week,Marital status,Number of children,Age of respondent,Highest year of school completed,General happiness,Happiness of marriage,Condition of health,Is life exciting or dull,Spend evening with relatives,Spend evening with friends,Spend evening at bar,Job or housework,Subjective class identification,Satisfaction with financial situation,Sex before marriage,Suicide if bankrupt,Have gun in home,Hours per day watching tv,Family income in constant $
2010,1114,40,Married,3,48,12,Pretty happy,Very happy,Excellent,Routine,Sev times a week,Never,Never,Mod. satisfied,Working class,Not at all sat,Always wrong,No,Yes,1,34965
2010,1146,40,Married,2,59,13,Pretty happy,Very happy,Good,Don't know,Sev times a week,Once a month,Sev times a year,Very satisfied,Middle class,Satisfied,Not wrong at all,Don't know,Yes,3,42735
2010,1154,59,Married,2,29,14,Very happy,Pretty happy,Excellent,Exciting,Once a month,Once a month,Sev times a year,Mod. satisfied,Working class,More or less,Sometimes wrong,Yes,Yes,0,34965
2010,1156,40,Married,2,41,20,Not too happy,Pretty happy,Good,Routine,Sev times a mnth,Sev times a year,Never,Mod. satisfied,Working class,Not at all sat,Almst always wrg,No,No,4,34965
2010,1165,50,Married,5,50,16,Not too happy,Very happy,Good,Routine,Sev times a week,Sev times a mnth,Sev times a week,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,2,62160
2010,1168,40,Married,3,45,16,Very happy,Very happy,Excellent,Exciting,Sev times a year,Once a month,Never,Very satisfied,Middle class,More or less,Always wrong,No,Refused,2,62160
2010,1171,50,Married,2,58,18,Pretty happy,Very happy,Excellent,Exciting,Once a year,Sev times a week,Once a month,Very satisfied,Middle class,Satisfied,Always wrong,No,No,1,119606
2010,1175,45,Married,2,57,16,Not too happy,Pretty happy,Good,Routine,Sev times a week,Sev times a year,Sev times a mnth,A little dissat,Working class,Not at all sat,Not wrong at all,No,No,3,42735
2010,1178,50,Married,0,49,16,Pretty happy,Very happy,Excellent,Routine,Sev times a mnth,Sev times a mnth,Sev times a year,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,1,119606
2010,1188,30,Married,2,28,12,Pretty happy,Pretty happy,Good,Routine,Once a month,Once a month,Once a month,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,No,4,28490
2010,1191,37,Married,2,66,14,Pretty happy,Very happy,Good,Exciting,Sev times a year,Once a year,Never,Very satisfied,Working class,Not at all sat,Almst always wrg,No,Refused,3,28490
2010,1209,50,Married,0,44,16,Pretty happy,Pretty happy,Good,Exciting,Once a year,Once a month,Once a year,Very satisfied,Working class,More or less,Not wrong at all,Yes,Yes,2,51800
2010,1213,Not applicable,Married,0,27,18,Pretty happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Sev times a year,Not applicable,Middle class,Satisfied,Almst always wrg,No,Yes,1,28490
2010,1232,40,Married,0,48,16,Pretty happy,Pretty happy,Good,Exciting,Sev times a year,Sev times a year,Once a year,Mod. satisfied,Working class,More or less,Not wrong at all,Yes,Yes,3,119606
2010,1283,8,Married,3,72,18,Pretty happy,Pretty happy,Good,Routine,Once a month,Sev times a year,Once a year,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,3,42735
2010,1302,1,Married,0,38,14,Very happy,Very happy,Excellent,Routine,Once a year,Once a month,Never,Mod. satisfied,Middle class,Satisfied,Always wrong,No,Yes,1,34965
2010,1304,20,Married,1,31,14,Not too happy,Pretty happy,Fair,Don't know,Sev times a year,Never,Once a year,Very satisfied,Middle class,More or less,Not wrong at all,No,No,1,119606
2010,1306,40,Married,3,51,18,Pretty happy,Pretty happy,Excellent,Routine,Sev times a year,Once a month,Sev times a year,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,1,72520
2010,1322,40,Married,1,34,18,Very happy,Very happy,Excellent,Routine,Sev times a week,Once a month,Never,Mod. satisfied,Middle class,More or less,Almst always wrg,No,Yes,2,42735
2010,1323,Not applicable,Married,3,68,12,Pretty happy,Pretty happy,Poor,Don't know,Sev times a mnth,Sev times a year,Never,A little dissat,Middle class,More or less,Not wrong at all,No,Yes,4,23310
2010,1326,16,Married,2,40,13,Pretty happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a mnth,Never,Very satisfied,Middle class,More or less,Always wrong,No,Yes,2,51800
2010,1340,30,Married,5,73,6,Very happy,Pretty happy,Fair,Routine,Once a month,Once a year,Never,Very satisfied,Working class,More or less,Always wrong,No,No,1,19425
2010,1342,38,Married,2,49,12,Not too happy,Very happy,Good,Routine,Once a month,Once a year,Never,Mod. satisfied,Working class,More or less,Always wrong,No,No,4,11008
2010,1345,40,Married,4,59,12,Pretty happy,Very happy,Fair,Routine,Almost daily,Sev times a week,Sev times a week,Mod. satisfied,Working class,More or less,Always wrong,No,Refused,3,23310
2010,1357,28,Married,3,41,11,Not too happy,Pretty happy,Good,Routine,Once a year,Once a month,Never,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,1,23310
2010,1361,40,Married,2,38,16,Very happy,Pretty happy,Fair,Exciting,Once a month,Sev times a week,Never,Very satisfied,Working class,More or less,Almst always wrg,No,No,1,28490
2010,1366,Not applicable,Married,5,57,10,Not too happy,Very happy,Poor,Routine,Once a month,Once a year,Never,No answer,Working class,Not at all sat,Sometimes wrong,No,No,8,7123
2010,1370,Not applicable,Married,3,44,16,Pretty happy,Very happy,Good,Routine,Once a month,Once a month,Once a month,Very satisfied,Working class,More or less,Not wrong at all,No,No,3,23310
2010,1373,40,Married,2,36,14,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a mnth,Sev times a year,Mod. satisfied,Middle class,Not at all sat,Not wrong at all,Yes,Yes,1,62160
2010,1374,38,Married,2,61,16,Pretty happy,Pretty happy,Excellent,Routine,Once a month,Once a year,Once a year,Very satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,62160
2010,1383,40,Married,2,60,20,Pretty happy,Pretty happy,Excellent,Exciting,Sev times a year,Sev times a mnth,Sev times a year,Very satisfied,Middle class,Satisfied,Sometimes wrong,Yes,Yes,1,119606
2010,1394,40,Married,2,66,14,Pretty happy,Very happy,Excellent,Routine,Sev times a mnth,Once a year,Never,Very satisfied,Middle class,More or less,Almst always wrg,No,Yes,2,51800
2010,1399,43,Married,3,43,12,Pretty happy,Very happy,Good,Routine,Sev times a mnth,Once a year,Once a year,Mod. satisfied,Working class,More or less,Sometimes wrong,No,Yes,3,12303
2010,1435,20,Married,2,44,12,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a mnth,Never,Very satisfied,Working class,Satisfied,Always wrong,No,Yes,1,42735
2010,1460,Not applicable,Married,7,49,13,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a year,Sev times a year,Not applicable,Middle class,Satisfied,Always wrong,No,Yes,1,72520
2010,1469,Not applicable,Married,1,53,10,Pretty happy,Very happy,Fair,Routine,Sev times a mnth,Once a month,Sev times a week,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,2,34965
2010,1474,28,Married,1,57,15,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a mnth,Once a year,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,2,72520
2010,1483,60,Married,1,44,12,Very happy,Very happy,Good,Routine,Once a month,Sev times a week,Once a year,Very satisfied,Working class,Satisfied,Not wrong at all,Yes,Yes,1,72520
2010,1489,20,Married,2,42,14,Pretty happy,Pretty happy,Fair,Routine,Sev times a mnth,Sev times a mnth,Sev times a mnth,Mod. satisfied,Middle class,More or less,Sometimes wrong,Yes,Yes,2,34965
2010,1500,Not applicable,Married,3,71,12,Pretty happy,Pretty happy,Excellent,Routine,Once a month,Once a month,Never,Not applicable,Working class,Not at all sat,Not wrong at all,No,Refused,4,23310
2010,1507,Not applicable,Married,3,65,13,Very happy,Pretty happy,Good,Exciting,Sev times a mnth,Once a month,Sev times a year,Very satisfied,Working class,Satisfied,Sometimes wrong,No,Yes,6,16835
2010,1516,2,Married,5,46,14,Very happy,Very happy,Fair,Routine,Once a month,Once a month,Never,Very satisfied,Working class,More or less,Always wrong,No,No,1,51800
2010,1556,70,Married,2,33,14,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a year,Never,Very satisfied,Working class,Not at all sat,Not wrong at all,No,No,0,23310
2010,1574,21,Married,3,76,18,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,3,28490
2010,1587,50,Married,4,41,13,Very happy,Very happy,Excellent,Exciting,Once a month,Sev times a year,Sev times a year,Very satisfied,Working class,Satisfied,Not wrong at all,No,Yes,3,119606
2010,1603,40,Married,3,61,16,Pretty happy,Pretty happy,Good,Exciting,Almost daily,Once a month,Never,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,2,119606
2010,1616,Not applicable,Married,1,37,12,Very happy,Very happy,Excellent,Routine,Sev times a week,Sev times a year,Never,Very satisfied,Working class,More or less,Not wrong at all,No,Yes,5,28490
2010,1618,8,Married,2,29,14,Very happy,Very happy,Excellent,Routine,Sev times a week,Once a month,Never,Mod. satisfied,Lower class,More or less,Always wrong,No,No,2,19425
2010,1621,42,Married,2,43,12,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a year,Once a year,Mod. satisfied,Working class,Satisfied,Almst always wrg,Yes,Yes,1,51800
2010,1625,40,Married,1,44,11,Very happy,Very happy,Excellent,Exciting,Sev times a year,Once a month,Once a year,Very satisfied,Working class,More or less,Not wrong at all,No,No,6,5828
2010,1627,40,Married,2,30,20,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a mnth,Sev times a year,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,2,51800
2010,1629,Not applicable,Married,4,47,16,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a year,Sev times a year,Mod. satisfied,Middle class,More or less,Not wrong at all,Yes,Refused,1,119606
2010,1640,40,Married,1,51,15,Pretty happy,Pretty happy,Good,Exciting,Sev times a week,Once a month,Sev times a year,Very satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,72520
2010,1643,44,Married,2,60,16,Pretty happy,Pretty happy,Good,Routine,Sev times a year,Sev times a year,Never,A little dissat,Middle class,More or less,Not wrong at all,No,Yes,1,72520
2010,1651,56,Married,3,39,14,Pretty happy,Very happy,Good,Routine,Once a month,Once a month,Once a month,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,0,28490
2010,1663,40,Married,4,64,13,Pretty happy,Very happy,Good,Routine,Sev times a mnth,Sev times a year,Sev times a year,Very satisfied,Working class,More or less,Always wrong,No,Yes,1,62160
2010,1667,Not applicable,Married,6,72,12,Very happy,Very happy,Good,Routine,Sev times a week,Sev times a week,Once a year,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,3,14245
2010,1671,52,Married,2,47,17,Pretty happy,Pretty happy,Excellent,Routine,Once a month,Sev times a mnth,Sev times a year,Very satisfied,Middle class,Satisfied,Sometimes wrong,No,Yes,1,51800
2010,1673,40,Married,2,38,12,Very happy,Very happy,Good,Exciting,Once a month,Sev times a year,Never,Very satisfied,Working class,Satisfied,Not wrong at all,No,Yes,2,51800
2010,1683,32,Married,3,63,9,Not too happy,Very happy,Fair,Routine,Sev times a mnth,Once a month,Sev times a mnth,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,6,16835
2010,1684,Not applicable,Married,2,57,14,Very happy,Very happy,Good,Routine,Once a year,Sev times a mnth,Once a month,Very satisfied,Middle class,More or less,Sometimes wrong,No,Yes,3,9713
2010,1691,40,Married,3,42,12,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a year,Once a year,Very satisfied,Middle class,More or less,Always wrong,No,Yes,3,42735
2010,1692,Not applicable,Married,2,61,12,Pretty happy,Pretty happy,Good,Exciting,Once a year,Once a year,Never,Not applicable,Middle class,Satisfied,Almst always wrg,No,Yes,4,42735
2010,1710,37,Married,2,50,14,Pretty happy,Very happy,Good,Routine,Sev times a mnth,Sev times a week,Never,Mod. satisfied,Working class,Not at all sat,Always wrong,No,Yes,5,28490
2010,1712,40,Married,4,37,11,Pretty happy,Pretty happy,Excellent,Exciting,Sev times a week,Once a month,Never,Mod. satisfied,Working class,More or less,Always wrong,No,Yes,2,19425
2010,1716,35,Married,2,37,13,Very happy,Very happy,Fair,Routine,Sev times a week,Sev times a week,Never,A little dissat,Working class,Not at all sat,Always wrong,No,Yes,1,16835
2010,1724,56,Married,4,61,16,Very happy,Very happy,Good,Routine,Once a month,Once a year,Never,Mod. satisfied,Middle class,More or less,Always wrong,No,Yes,2,34965
2010,1727,Not applicable,Married,2,35,17,Very happy,Pretty happy,Excellent,Exciting,Sev times a week,Once a month,Sev times a year,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,0,42735
2010,1729,50,Married,3,41,12,Not too happy,Pretty happy,Excellent,Routine,Once a year,Once a year,Never,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,2,12303
2010,1733,46,Married,0,39,12,Not too happy,Pretty happy,Fair,Routine,Once a year,Sev times a week,Sev times a mnth,Very satisfied,Working class,More or less,Not wrong at all,No,No,2,19425
2010,1735,40,Married,2,43,12,Pretty happy,Very happy,Good,Routine,Sev times a week,Once a year,Never,Very satisfied,Working class,More or less,Not wrong at all,No,No,0,19425
2010,1749,Not applicable,Married,2,66,12,Pretty happy,Pretty happy,Fair,Routine,Never,Never,Never,Not applicable,Middle class,Satisfied,Not wrong at all,No,Yes,12,8418
2010,1766,4,Married,2,61,10,Pretty happy,Very happy,Fair,Routine,Sev times a week,Sev times a mnth,Never,A little dissat,Lower class,More or less,Almst always wrg,No,Yes,4,12303
2010,1768,Not applicable,Married,4,68,11,Very happy,Very happy,Good,Exciting,Almost daily,Once a month,Never,Very satisfied,Working class,Not at all sat,Sometimes wrong,No,Refused,3,11008
2010,1771,Not applicable,Married,2,67,12,Not too happy,Pretty happy,Fair,Dull,Sev times a week,Sev times a mnth,Never,Not applicable,Middle class,Not at all sat,Always wrong,No,No,12,34965
2010,1781,60,Married,4,62,14,Not too happy,Very happy,Good,Dull,Once a month,Sev times a mnth,Once a year,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,3,34965
2010,1795,26,Married,2,36,13,Very happy,Very happy,Good,Exciting,Once a month,Once a month,Once a year,Mod. satisfied,Working class,More or less,Always wrong,No,No,1,34965
2010,1803,Not applicable,Married,2,64,12,Very happy,Very happy,Fair,Exciting,Sev times a week,Sev times a week,Never,Mod. satisfied,Middle class,Satisfied,Always wrong,No,Yes,4,34965
2010,1807,40,Married,3,37,15,Very happy,Very happy,Fair,Exciting,Sev times a week,Sev times a year,Once a year,Very satisfied,Working class,More or less,Almst always wrg,Yes,Refused,2,34965
2010,1815,40,Married,3,54,13,Not too happy,Pretty happy,Good,Routine,Sev times a mnth,Never,Never,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,0,62160
2010,1817,40,Married,0,39,20,Very happy,Very happy,Good,Routine,Sev times a mnth,Sev times a mnth,Once a year,Very satisfied,Middle class,Not at all sat,Not wrong at all,No,Yes,2,62160
2010,1835,Not applicable,Married,3,65,14,Very happy,Very happy,Good,Routine,Once a month,Once a year,Sev times a year,Not applicable,Middle class,Satisfied,Almst always wrg,No,Yes,3,34965
2010,1854,Not applicable,Married,1,59,16,Very happy,Very happy,Fair,Routine,Once a month,Once a month,Never,Very satisfied,Working class,Not at all sat,Always wrong,No,Yes,5,8418
2010,1870,Not applicable,Married,1,66,14,Pretty happy,Pretty happy,Good,Routine,Once a month,Once a year,Never,Not applicable,Middle class,More or less,Always wrong,No,Yes,3,42735
